depth	min	max	median	mean
1.5	4430	4707	4576	4574
2.5	4443	4716	4591	4588
3.5	4456	4725	4603	4601
4.5	4471	4739	4619	4615
5.5	4488	4753	4631	4629
6.5	4501	4767	4645	4642
7.5	4535	4770	4662	4655
8.5	4551	4776	4679	4669
9.5	4562	4781	4694	4682
10.5	4571	4788	4708	4695
11.5	4587	4797	4723	4709
12.5	4602	4800	4741	4723
13.5	4618	4804	4757	4737
14.5	4630	4811	4772	4751
15.5	4644	4825	4785	4765
16.5	4673	4842	4799	4783
17.5	4716	4862	4814	4805
18.5	4760	4894	4828	4827
19.5	4799	4932	4841	4849
20.5	4827	4980	4856	4871
21.5	4854	5022	4888	4903
22.5	4877	5059	4938	4945
23.5	4889	5099	4987	4988
24.5	4904	5153	5035	5031
25.5	4915	5218	5079	5073
26.5	4962	5261	5127	5120
27.5	5040	5279	5175	5171
28.5	5114	5307	5225	5221
29.5	5185	5353	5274	5272
30.5	5242	5414	5315	5323
31.5	5287	5451	5352	5361
32.5	5326	5464	5382	5388
33.5	5349	5484	5413	5415
34.5	5364	5511	5443	5442
35.5	5376	5544	5470	5469
36.5	5401	5570	5493	5493
37.5	5441	5578	5513	5514
38.5	5472	5590	5535	5534
39.5	5488	5615	5556	5555
40.5	5502	5649	5576	5575
41.5	5524	5672	5594	5596
42.5	5553	5687	5613	5615
43.5	5571	5711	5633	5635
44.5	5587	5747	5653	5655
45.5	5596	5794	5673	5674
46.5	5621	5827	5698	5700
47.5	5659	5838	5730	5731
48.5	5680	5848	5764	5763
49.5	5694	5868	5798	5794
50.5	5708	5908	5833	5826
51.5	5731	5929	5864	5853
52.5	5763	5945	5888	5877
53.5	5790	5967	5908	5901
54.5	5807	6003	5927	5924
55.5	5823	6048	5946	5948
56.5	5856	6074	5967	5971
57.5	5907	6084	5988	5992
58.5	5940	6097	6008	6013
59.5	5956	6120	6031	6035
60.5	5966	6149	6054	6056
61.5	5982	6171	6073	6076
62.5	5999	6181	6093	6094
63.5	6013	6190	6111	6112
64.5	6025	6209	6133	6129
65.5	6032	6238	6153	6147
66.5	6061	6257	6174	6169
67.5	6109	6264	6197	6194
68.5	6149	6274	6222	6219
69.5	6178	6284	6247	6244
70.5	6199	6309	6274	6269
71.5	6219	6332	6292	6288
72.5	6239	6344	6305	6302
73.5	6258	6360	6318	6316
74.5	6277	6379	6331	6330
75.5	6288	6404	6345	6344
76.5	6300	6425	6361	6359
77.5	6310	6441	6378	6375
78.5	6319	6462	6393	6390
79.5	6326	6492	6406	6406
80.5	6332	6531	6418	6422
81.5	6343	6557	6433	6437
82.5	6356	6569	6450	6454
83.5	6365	6589	6467	6470
84.5	6373	6611	6483	6486
85.5	6381	6641	6499	6502
86.5	6394	6662	6514	6517
87.5	6412	6671	6530	6532
88.5	6427	6685	6547	6547
89.5	6437	6700	6562	6562
90.5	6446	6718	6575	6577
91.5	6464	6735	6589	6592
92.5	6483	6746	6606	6608
93.5	6499	6760	6622	6624
94.5	6514	6776	6639	6640
95.5	6525	6794	6655	6656
96.5	6545	6810	6671	6672
97.5	6570	6826	6689	6690
98.5	6580	6840	6706	6707
99.5	6589	6865	6722	6724
